objectid,parentid,filename,title,description,creator,date,date is approximate,subject,location,location-address,latitude,longitude,source,identifier,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
fitzgerald0011,,ijcmg004_b001_f001-011.jpg,Ella Fitzgerald wearing a white dress while performing on stage,"Black and white portrait of Ella Fitzgerald for the cover of ""Dream Dancing"" from Pablo records 1977 Montreaux.",,,,jazz; black-and-white photographs; vocalist; musical performance,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-011,Image;StillImage,Black & white photograph,image/jpeg,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001_f001-011.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001_f001-011_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001_f001-011_th.jpg
fitzgerald0012,,ijcmg004_b001_f001-012.jpg,Ella Fitzgerald wearing a black hat and vest,Black and white photographed portait of Ella Fitzgerald from cover of Things Ain't What they Used to Be.,,,,vocalist; black-and-white photographs; jazz,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-012,Image;StillImage,Black & white photograph,image/jpeg,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001_f001-012.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001_f001-012_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001_f001-012_th.jpg
fitzgerald0013,,ijcmg004_b001_f002-001.jpg,Ella Fitzgerald wearing a bright blue dress and gold necklace,"Photograph of Ella Fitzgerald sitting in a chair, and wearing a bright blue dress",,,,vocalist; black-and-white photographs; jazz,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f002-001,Image;StillImage,Color photograph,image/jpeg,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001_f002-001.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001_f002-001_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001_f002-001_th.jpg
fitzgerald0014,,ijcmg004_b001_f002-002.jpg,Signed photograph of Ella Fitzgerald performing in a striped dress,Signed black and white photograp of Ella Fitzgerald at the Capital Jazz Festival *(double check).,,,,jazz; black-and-white photographs; vocalist; musical performance,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f002-002,Image;StillImage,Black & white photograph,image/jpeg,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001_f002-002.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001_f002-002_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001_f002-002_th.jpg
fitzgerald0015,,ijcmg004_b001_f003-003.jpg,Ella Fitzgerald's Pablo Records business card,Ella Fitzgerald's buiseness card for Pablo Records.,,,,buisness cards;,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f003-003,Text,Card,image/jpeg,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001_f003-003.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001_f003-003_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001_f003-003_th.jpg
fitzgerald0016,,ijcmg004_b001-004.pdf,"""Begin the Beguine"" sheet music ","Ella Fitzgerald's sheet music for Marty Paich's arrangement of Cole Porters song ""Begin the Beguine.""",Pacific Music Papers,1963,yes,sheet music; jazz; vocalist ,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-004,Text,Sheetmusic,application/pdf,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001-004.pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001-004_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001-004_th.jpg
fitzgerald0017,,ijcmg004_b001-005.pdf,"""What a Difference a Day Made"" lyric sheet ","Ella Fitzgerald's lyric sheet for Maria Grever and Stanley Adams's song ""What a Difference a Day has Made.""","Grever, Maria (1887-1951); Adams, Stanley (1907-1994) ",,,sheet music; jazz; vocalist ,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-005,Text,Sheetmusic,application/pdf,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001-005.pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001-005_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001-005_th.jpg
fitzgerald0018,,ijcmg004_b001-006.pdf,"""Useless Landscape"" lyric sheet","Ella Fitzgerald's lyric sheet for Antonio Carlos Jobims song ""Useless Landscape.""","Carlos Jobim, Antonio (1927-1994)",1981,,sheet music; jazz; vocalist ,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-006,Text,Sheetmusic,application/pdf,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,por;eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001-006.pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001-006_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001-006_th.jpg
fitzgerald0019,,ijcmg004_b001-007.pdf,"""Song of the Jet"" lyric sheet","Ella Fitzgerald's lyric sheet for Antonio Carlos Jobims song ""Song of the Jet.""","Carlos Jobim, Antonio (1927-1994)",1981,,sheet music; jazz; vocalist ,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-007,Text,Sheetmusic,application/pdf,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,por;eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001-007.pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001-007_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001-007_th.jpg
fitzgerald0020,,ijcmg004_b001-008.pdf,Norman Granz's Jazz at the Philharmonic 14th national tour program,Program from the Norman Granz's Jazz at the Philharmonic 14th National Tour.,"Granz, Norman (1918-2001)",1954,,concert programs; jazz; vocalist,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-008,Text,Booklet,application/pdf,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001-008.pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001-008_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001-008_th.jpg
fitzgerald0021,,ijcmg004_b001-009.pdf,Norman Granz's Jazz at the Philharmonic 16th national tour program,Program from the Norman Granz's Jazz at the Philharmonic 16th National Tour. ,"Granz, Norman (1918-2001)",1955,,concert programs; jazz; vocalist ,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-009,Text,Booklet,application/pdf,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001-009.pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001-009_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001-009_th.jpg
fitzgerald0022,,ijcmg004_b001-010.pdf,"""Jazz at the Philharmonic: The Ella Fitzgerald Set"" record cover ","Record cover of ""Jazz at the Philharmonic: The Ella Fitzgerald Set"" from the Verve Record Label. ","Granz, Norman (1918-2001)",1983,,long-playing records; jazz; vocalist; record covers,,,,,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-010,Image;StillImage,Record cover,application/pdf,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001-010.pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001-010_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001-010_th.jpg
fitzgerald0023,,ijcmg004_b001-011.pdf,"""Ella Fitzgerald Sings the Johnny Mercer Song Book"" record cover","Record cover of ""Ella Fitzgerald Sings the Johnny Mercer Song Book.""","Granz, Norman (1918-2001)",1964,,long-playing records; jazz; vocalist; record covers,Universal Music Group,"2220 Colorado Avenue, Santa Monica , CA 90403",34.02759296,-118.4742396,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-011,Image;StillImage,Record cover,application/pdf,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001-011.pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001-011_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001-011_th.jpg
fitzgerald0024,,ijcmg004_b001-012.pdf,"""Ella Fitzgerald's Christmas"" record cover","Record cover of ""Ella Fitzgerald's Christmas.""",Capital Records,1967,,long-playing records; jazz; vocalist; record covers,Universal Music Group,"2220 Colorado Avenue, Santa Monica , CA 90403",34.02759296,-118.4742396,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-012,Image;StillImage,Record cover,application/pdf,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001-012.pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001-012_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001-012_th.jpg
fitzgerald0025,,ijcmg004_b001-013.pdf,"""Ella Fitzgerald, The Rodgers and Hart Songbook"" record cover","Record cover of ""Ella Fitzgerald, The Rodgers and Hart Songbook""","Granz, Norman (1918-2001)",1967,,long-playing records; jazz; vocalist; record covers,Universal Music Group,"2220 Colorado Avenue, Santa Monica , CA 90403",34.02759296,-118.4742396,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-013,Image;StillImage,Record cover,application/pdf,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001-013.pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001-013_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001-013_th.jpg
fitzgerald0026,,ijcmg004_b001-014.pdf,"""Digital III at Montreux"" record cover","Record cover of ""Digital III at Montreux,"" by Ella Fitzgerald, Count Basie, Joe Pass, and Niels-Henning Orsted Pendersen.","Granz, Norman (1918-2001)",1980,,long-playing records; jazz; vocalist; record covers,Pablo Records,"Los Angeles, CA",34.0520261,-118.2799282,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-014,Image;StillImage,Record cover,application/pdf,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001-014.pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001-014_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001-014_th.jpg
fitzgerald0027,,ijcmg004_b001-015.pdf,"""Ella Fitzgerald at the Montreux Jazz Festival"" record cover","Record cover of ""Ella Fitzgerald at the Montreux Jazz Festival"" from 1975.","Granz, Norman (1918-2001)",1975-07-17,,long-playing records; jazz; vocalist; record covers,Pablo Records,"Los Angeles, CA",34.0520261,-118.2799282,University of Idaho Library IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001-015,Image;StillImage,Record cover,application/pdf,Ella Fitzgerald Collection,University of Idaho Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/ijcmg004_b001-015.pdf,https://objects.lib.uidaho.edu/ella-fitzgerald/small/ijcmg004_b001-015_sm.jpg,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001-015_th.jpg
