objectid,title,description,biography,archival_items,digitized_items,collection_stub,finding_aid,collection_url,display_template,image_thumb,image_small,notes
ijc_candoli_pete,Pete Candoli Collection,"The majority of the Pete Candoli Papers consists of original music manuscripts, arrangements, muscial scores, and published sheet music either created or used by Pete Candoli throughout his career. Other items in the collection include correspondence, clothing, photographs and biographical information. Gift of Sheryl Deauville Candoli.","Pete Candoli, born Walter Joseph Candoli in Mishawaka, Indiana June 28, 1923, began his professional career as a jazz trumpeter at the age of 13 when he became a member of the American Federation of Musicians. Pete started with the Sonny Durham Band in 1940 then between 1941 and 1944 played with Will Bradley, Benny Goodman, Ray McKinley, Tommy Dorsey, Freddie Slack and Charlie Barnet. In 1944 Pete began a two year association with Woody Herman. It was with Herman he became known as a “powerful and flamboyant soloist” displaying stamina and high note prowess when he appeared on stage at the end of the tune “Apple Honey” in a homemade Superman costume and “cut loose scorching, dissonant flurries of high notes.” After Herman, Pete played with Tex Beneke (1947-1949) and Jerry Gray (1950-1951) before moving to Los Angeles where he played with Les Brown (1952), Stan Kenton (1954-1956) and Glen Gray (1956-1963) and began a successful stint as a studio musician. As a studio musician he became a frequent collaborator of many influential musicians and performers including Judy Garland, Peggy Lee, Ella Fitzgerald, Henry Mancini and Frank Sinatra. Pete also worked on numerous film and television soundtracks most notably as part of the Henry Mancini ensemble that provided the jazz based score for the television show “Peter Gunn.” One of Pete’s frequent collaborators was younger brother Conte, also a well-known and well-respected jazz trumpeter. The Candoli Brothers formed a band in 1957 and would continue to perform and record together off and on throughout the next four decades. During his career, Pete accumulated 301 recording credits either as a conductor, arranger, composer, or performer including credits as a guest and featured artist. He was inducted into the International Jazz Hall of Fame in 1997, the Big Band Hall of Fame in 2003 and won the Down Beat, Metronome, Esquire “All American Band Trumpet Bronze Award.” Look magazine named him one of seven all-time outstanding jazz trumpet players with others receiving the honor including legends Louis Armstrong, Harry James and Dizzy Gillespie. Pete Candoli died January 11, 2008 at his home in Studio City, California at the age of 84.

References Bowers, Jack. Pete Candoli. www.allaboutjazz.com Ginell, Richard S. Pete Candoli. www.allmusic.com. Keepnews, Peter. Pete Candoli, Trumpeter and Studio Musician, Dies at 84. January 23, 2008. www.nytimes.com. Kernfeld, Frederick A. Beck and Barry Kernfeld. Pete Cabndoli. www.oxfordmusiconline.com.",9.5 linear feet (16 boxes and one oversize photograph),,,https://archiveswest.orbiscascade.org/ark:/80444/xv39807,,ijc_collection,https://www.ijc.uidaho.edu/images/pete_candoli.png,https://www.ijc.uidaho.edu/images/pete_candoli.png,
ijc_kenton,Stan Kenton Collection,The collection consists of copies of arrangements. Materials are mostly undated. The suggested range date of the materials is the approximate years in which Mr. Kenton was active as a musician and educator.,"Stanley Newcomb Kenton was a jazz pianist, composer, and arranger. He was born in Wichita, Kansas on December 15, 1911 and died in Los Angeles, California on August 25, 1979. From 1941 to 1948 Mr. Kenton led his own band, the Artistry in Rhythm Orchestra, which gained a national reputation after Capitol released the album ""Artistry in Rhythm,” in 1943. In 1950 Kenton assembled his largest band, a 39-piece orchestra named Innovations in Modern Music. Soon after, however, he returned to his usual 19-piece lineup. His last successful experiment was his mellophonium band of 1960-1963. In later years, he dedicated his time to teaching jazz to young musicians.",10.5 cubic feet,,,https://archiveswest.orbiscascade.org/ark:/80444/xv66433,,ijc_collection,https://www.ijc.uidaho.edu/images/stan_kenton.png,https://www.ijc.uidaho.edu/images/stan_kenton.png,
ijc_jarvis,Jane Jarvis Collection,"Jane Jarvis was a jazz pianist. The collection includes newspaper clippings, concert fliers and programs, arrangements, scores, and a Thomas electronic organ.","Jane Jarvis was born Luella Jane Nossette in Vincennes, Indiana on October 31, 1915. She was a jazz pianist, who also performed as an organist for the New York Mets and worked as a programmer for Muzak. She played the organ for the Milwaukee Braves Baseball Team at County Stadium for eight years, before being hired by the New York Mets Baseball Team as organist at Shea Stadium in 1964. A year previous she gained employment with Muzak, where she rose to vice-president responsible for programming and recording. In that position, she hired and composed with Lionel Hampton, Clark Terry and other jazz musicians. Jane Jarvis ended her employment at Muzak in 1978 and the Mets organization a year later to focus on her career as a jazz pianist. In the 1980s she performed regularly at the West Village jazz club Zinno, where she often played alongside bassist Milt Hinton. She was a founding member of the Statesmen of Jazz, with whom she traveled abroad and recorded. Ms. Jarvis died at the Lillian Booth Actors Home in Englewood, New Jersey on January 25, 2010.","1.5 cubic feet, excluding an electronic organ, (2 boxes and 2 posters)",,,https://archiveswest.orbiscascade.org/ark:/80444/xv07022,,ijc_collection,,,
ijc_mulligan,Gerry Mulligan Collection,"Gerry Mulligan was a jazz saxophonist, composer, arranger, and bandleader. This collection consists mostly of digitized scores and other materials of the Gerry Mulligan Library. The Library of Congress holds the originals, which span the years circa 1940-1994. The materials were digitized in 2003.","Gerry Mulligan (born Gerald Joseph Mulligan) was a jazz saxophonist, composer, arranger, and bandleader. He was born in Queens, New York on April 6, 1927 and died in Darien, Connecticut on January 20, 1996.

Visit the Gerry Mulligan website to learn more about the artist.",62 computer discs,,,https://archiveswest.orbiscascade.org/ark:/80444/xv84017,,ijc_collection,,,
ijc_vermenich,Yuri Vermenich Collection on Jazz Ephemera,"Vermenich is a Russian jazz historian. The collection consists of fifteen signed photographs and nine letters from American jazz musicians, and seven books about jazz that he translated to Russian.","Yuri T. Vermenich was a Russian jazz historian and teacher, born in Voronezh on August 14, 1934. A radio engineer by profession, he graduated from the Leningrad Polytechnic Institute in 1957. With no special musical education, he first made the acquaintance of jazz music after World War II in 1946 and grew interested in it. He was founder and president of the Voronezh Jazz Club (1966)that organized jazz festivals and concerts, a member of the Council of Russian Jazz Federation and of the Russian Union of Professional Writers, and a teacher at Voronezh City Musical College. He was a judge at many jazz festivals, authored several articles in Russian newspapers and abroad, and translated to Russian over 30 books about jazz, including Leonard Feather's The Book of Jazz. Vermenich died on December 14, 2016.",1 cubic feet,,,https://archiveswest.orbiscascade.org/ark:/80444/xv35684,,ijc_collection,,,
ijc_jazz,Small Collections on Jazz,Memorabilia and other Jazz-related materials assembled by Special Collections and Archives of the University of Idaho Library with gifts to the International Jazz Collections from a variety of sources.,,,,,https://archiveswest.orbiscascade.org/ark:/80444/xv34854,,ijc_collection,,,
jazzfest,Lionel Hampton Jazz Festival Collection,"Memorabilia related to the University of Idaho's Jazz Festival, 1969-2021","This collection consists of posters, programs, photographs, and other materials documenting the history of the Lionel Hampton Jazz Festival. Materials span the years 1969 to 2020, and originate primarily from the Jazz Office records. Also included are a series of oral histories conducted by the 2020 Berry Jazz Fellow, Spencer Manning, with long time festival director Lynn “Doc” Skinner.",,392,,,https://www.lib.uidaho.edu/digital/jazzfest/,ijc_collection,https://objects.lib.uidaho.edu/jazzfest/thumbs/jazzfest65_th.jpg,https://objects.lib.uidaho.edu/jazzfest/small/jazzfest65_sm.jpg,
ella-fitzgerald,Ella Fitzgerald Exhibit,"Celebrating Fitzgerald's fashion and style through her clothing, photographs, and album covers.","Ella Jane Fitzgerald, also known as 'the first lady of song,' is loved by jazz listeners worldwide. This collection features Fitzgerald's iconic wardrobe and highlights the stories and creators behind some of her famous clothing.",,33,,,https://www.lib.uidaho.edu/digital/ella-fitzgerald/,ijc_collection,https://objects.lib.uidaho.edu/ella-fitzgerald/thumbs/ijcmg004_b001_f001-007_th.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001_f001-007_sm.jpg,
cheatham,Doc Cheatham Collection,"Adolphus Anthony ""Doc"" Cheatham (1905-1997) was an American jazz trumpeter, singer, and bandleader. This collection contains photographs of Cheatham and his family, newspaper articles, letters, and handwritten jazz charts.","Adolphus Anthony Cheatham, known as Doc Cheatham, was a trumpet player. He was born in Nashville, Tennessee on June 13, 1905 and died on June 2, 1997.",2 cubic feet,59,,https://archiveswest.orbiscascade.org/ark:/80444/xv94027,https://www.lib.uidaho.edu/digital/cheatham/,ijc_collection,https://www.lib.uidaho.edu/digital/objects/cheatham/thumbs/ijcmg008_b001_f001-005_th.jpg,https://www.lib.uidaho.edu/digital/objects/cheatham/small/ijcmg008_b001_f001-005_sm.jpg,
blindfold,Leonard Feather Blindfold Tests,"The Blindfold Tests are a series of interviews conducted by jazz critic Leonard Feather with prominent jazz musicians throughout the 20th century.",,,23,,,https://www.lib.uidaho.edu/digital/blindfold/,ijc_collection,https://www.lib.uidaho.edu/digital/objects/blindfold/thumbs/young_th.jpg,https://www.lib.uidaho.edu/digital/objects/blindfold/small/young_sm.jpg,
